ano,codigo_del_departamento,departamento_de_oferta_del,codigo_del_municipio_programa,municipio_de_oferta_del,doctorado,especializaci_n_m_dico_quir,especializaci_n_t_cnico,especializacion_tecnologica,especializacion_universitaria,formacion_tecnica_profesio0l,maestria,tecnologica,universitaria,matricula_total,ies_con_oferta
2018,5,ANTIOQUIA,5001,MEDELLIN,1596,382,0,1236,8865,2054,6817,70436,166856,258242,48
2018,5,ANTIOQUIA,5031,AMALFI,0,0,0,0,0,0,0,11,170,181,1
2018,5,ANTIOQUIA,5034,ANDES,0,0,0,0,0,40,7,32,567,646,3
2018,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,0,0,0,69,0,0,0,1459,127,1655,3
2018,5,ANTIOQUIA,5045,APARTADO,0,0,0,210,63,7,14,7600,1756,9650,12
2018,5,ANTIOQUIA,5059,ARMENIA,0,0,0,0,0,17,0,1,19,37,2
2018,5,ANTIOQUIA,5088,BELLO,0,0,0,0,109,17,0,787,7752,8665,2
2018,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,0,0,0,0,0,0,0,0,26,26,1
2018,5,ANTIOQUIA,5129,CALDAS,0,0,0,31,21,0,12,2151,1635,3850,2
2018,5,ANTIOQUIA,5147,CAREPA,0,0,0,0,13,0,0,8,282,303,1
2018,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,0,0,0,0,26,56,24,155,1992,2253,1
2018,5,ANTIOQUIA,5154,CAUCASIA,0,0,0,37,14,0,2,2186,592,2831,3
2018,5,ANTIOQUIA,5172,CHIGORODO,0,0,0,0,0,0,0,5,43,48,2
2018,5,ANTIOQUIA,5190,CISNEROS,0,0,0,0,0,0,0,367,0,367,1
2018,5,ANTIOQUIA,5212,COPACABA0,0,0,0,0,0,0,0,0,396,396,1
2018,5,ANTIOQUIA,5250,EL BAGRE,0,0,0,0,0,550,0,86,0,636,2
2018,5,ANTIOQUIA,5266,ENVIGADO,0,0,0,0,181,455,10,113,4373,5132,3
2018,5,ANTIOQUIA,5318,GUARNE,0,0,0,0,0,0,0,88,0,88,1
2018,5,ANTIOQUIA,5360,ITAGUI,0,0,0,493,0,56,30,9304,1301,11184,4
2018,5,ANTIOQUIA,5364,JARDIN,0,0,0,0,0,0,0,0,21,21,1
2018,5,ANTIOQUIA,5368,JERICO,0,0,0,0,0,0,0,0,89,89,2
2018,5,ANTIOQUIA,5376,LA CEJA,0,0,0,0,0,0,0,77,0,77,1
2018,5,ANTIOQUIA,5390,LA PINTADA,0,0,0,0,0,0,0,25,116,141,1
2018,5,ANTIOQUIA,5490,NECOCLI,0,0,0,0,0,0,0,0,34,34,1
2018,5,ANTIOQUIA,5579,PUERTO BERRIO,0,0,0,45,0,0,3,2249,120,2417,3
2018,5,ANTIOQUIA,5615,RIONEGRO,0,0,0,223,161,12,161,6181,5766,12504,5
2018,5,ANTIOQUIA,5628,SABA0LARGA,0,0,0,0,0,0,0,7,30,37,2
2018,5,ANTIOQUIA,5631,SABANETA,0,0,0,0,640,0,92,0,6188,6920,4
2018,5,ANTIOQUIA,5649,SAN CARLOS,0,0,0,0,0,0,0,0,52,52,1
2018,5,ANTIOQUIA,5659,SAN JUAN DE URABA,0,0,0,0,0,0,0,5,0,5,1
2018,5,ANTIOQUIA,5664,SAN PEDRO,0,0,0,0,0,0,0,78,0,78,1
2018,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,0,0,0,0,49,0,65,640,2996,3750,4
2018,5,ANTIOQUIA,5736,SEGOVIA,0,0,0,0,0,0,0,36,60,96,1
2018,5,ANTIOQUIA,5756,SONSON,0,0,0,0,0,0,0,2,195,197,2
2018,5,ANTIOQUIA,5837,TURBO,0,0,0,0,19,0,14,133,1168,1334,4
2018,5,ANTIOQUIA,5887,YARUMAL,0,0,0,0,0,24,0,44,255,323,3
2018,5,ANTIOQUIA,5890,YOLOMBO,0,0,0,0,0,0,0,32,77,109,1
2018,8,ATLANTICO,8001,BARRANQUILLA,298,401,0,143,3217,4744,2443,31145,85370,127761,34
2018,8,ATLANTICO,8433,MALAMBO,0,0,0,0,0,0,0,198,0,198,1
